symbol,rank,sector,industry
CVLT,3,CommVault Systems Inc.,Technology,Computer Software: Prepackaged Software
NWS,2,News Corporation,Consumer Services,Newspapers/Magazines
AMC,5,AMC Entertainment Holdings Inc.,Consumer Services,Movies/Entertainment
AME,4,AMTEK Inc.,Consumer Durables,Metal Fabrications
AMD,4,Advanced Micro Devices Inc.,Technology,Semiconductors
AMG,1,Affiliated Managers Group Inc.,Finance,Investment Managers
NWE,2,NorthWestern Corporation,Public Utilities,Power Generation
NWL,3,Newell Rubbermaid Inc.,Consumer Non-Durables,Plastic Products
AMP,3,AMERIPRISE FINANCIAL SERVICES INC.,Finance,Investment Managers
NWN,3,Northwest Natural Gas Company,Public Utilities,Oil/Gas Transmission
AMT,3,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts
NSTG,3,NanoString Technologies Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
UPLD,3,Upland Software Inc.,Technology,Computer Software: Prepackaged Software
WMGIZ,-1,Wright Medical Group Inc.,Health Care,Industrial Specialties
AHGP,3,Alliance Holdings GP L.P.,Energy,Coal Mining
CYNO,3,Cynosure Inc.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AVX,3,AVX Corporation,Capital Goods,Electrical Products
CYNI,2,Cyan Inc.,Technology,EDP Services
TI/A,-1,Telecom Italia S.P.A.,Consumer Services,Telecommunications Equipment
WABC,4,Westamerica Bancorporation,Finance,Major Banks
POWI,3,Power Integrations Inc.,Technology,Semiconductors
KORS,2,Michael Kors Holdings Limited,Consumer Non-Durables,Apparel
PRTS,3,U.S. Auto Parts Network Inc.,Consumer Services,Other Specialty Stores
GSIG,0,GSI Group Inc.,Miscellaneous,Industrial Machinery/Components
PRTA,1,Prothena Corporation plc,Health Care,Major Pharmaceuticals
MEMP,3,Memorial Production Partners LP,Energy,Oil & Gas Production
PRTK,0,Paratek Pharmaceuticals Inc. ,Health Care,Major Pharmaceuticals
PRTO,2,Proteon Therapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EPIQ,3,EPIQ Systems Inc.,Technology,EDP Services
BYLK,3,Baylake Corp,Finance,Major Banks
CNLI,-1,Centre Lane Investment Corp.,n/a,n/a
SPNS,4,Sapiens International Corporation N.V.,Technology,Computer Software: Prepackaged Software
DERM,3,Dermira Inc.,Health Care,Major Pharmaceuticals
SVVC,0,Firsthand Technology Value Fund Inc.,n/a,n/a
SPNC,3,The Spectranetics Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
TX,3,Ternium S.A.,Basic Industries,Steel/Iron Ore
TY,0,Tri Continental Corporation,n/a,n/a
TV,3,Grupo Televisa S.A.,Consumer Services,Broadcasting
TW,4,Towers Watson & Co,Consumer Services,Professional Services
TU,3,TELUS Corporation,Public Utilities,Telecommunications Equipment
TR,0,Tootsie Roll Industries Inc.,Consumer Non-Durables,Specialty Foods
TS,5,Tenaris S.A.,Basic Industries,Steel/Iron Ore
TM,3,Toyota Motor Corp Ltd Ord,Capital Goods,Auto Manufacturing
TK,3,Teekay Corporation,Transportation,Marine Transportation
TI,4,Telecom Italia S.P.A.,Consumer Services,Telecommunications Equipment
TG,0,Tredegar Corporation,Capital Goods,Metal Fabrications
TD,4,Toronto Dominion Bank (The),Finance,Commercial Banks
TE,2,TECO Energy Inc.,Public Utilities,Electric Utilities: Central
TC,3,Thompson Creek Metals Company Inc.,Basic Industries,Precious Metals
TA,3,TravelCenters of America LLC,Consumer Durables,Automotive Aftermarket
AA,2,Alcoa Inc.,Capital Goods,Metal Fabrications
AB,3,Allianceberstein Holding L.P.,Finance,Investment Managers
AE,0,Adams Resources & Energy Inc.,Energy,Oil Refining/Marketing
AG,3,First Majestic Silver Corp.,Basic Industries,Precious Metals
AF,3,Astoria Financial Corporation,Finance,Savings Institutions
AI,2,Arlington Asset Investment Corp,Finance,Finance/Investors Services
AM,3,Antero Midstream Partners LP,Public Utilities,Natural Gas Distribution
AL,1,Air Lease Corporation,Technology,Diversified Commercial Services
AN,3,AutoNation Inc.,Consumer Durables,Automotive Aftermarket
TSRI,0,TSR Inc.,Technology,EDP Services
AP,0,Ampco-Pittsburgh Corporation,Capital Goods,Fluid Controls
AR,5,Antero Resources Corporation,Energy,Oil & Gas Production
AU,4,AngloGold Ashanti Limited,Basic Industries,Precious Metals
AT,3,Atlantic Power Corporation,Energy,Electric Utilities: Central
TSRO,4,TESARO Inc.,Health Care,Major Pharmaceuticals
AV,0,Aviva plc,Finance,Life Insurance
TSRA,3,Tessera Technologies Inc.,Technology,Semiconductors
TSRE,4,Trade Street Residential Inc.,Consumer Services,Real Estate Investment Trusts
ISRG,3,Intuitive Surgical Inc.,Health Care,Industrial Specialties
UBNT,3,Ubiquiti Networks Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
ARLP,4,Alliance Resource Partners L.P.,Energy,Coal Mining
RRMS,3,Rose Rock Midstream L.P.,Energy,Natural Gas Distribution
CZWI,0,Citizens Community Bancorp Inc.,Finance,Savings Institutions
WLT,2,Walter Energy Inc.,Energy,Coal Mining
WLH,3,Lyon William Homes,Capital Goods,Homebuilding
AUY,3,Yamana Gold Inc.,Basic Industries,Precious Metals
GNVC,3,GenVec Inc.,Health Care,Major Pharmaceuticals
WLK,5,Westlake Chemical Corporation,Basic Industries,Major Chemicals
WLL,5,Whiting Petroleum Corporation,Energy,Oil & Gas Production
SBAC,3,SBA Communications Corporation,Consumer Services,Telecommunications Equipment
FALC,0,FalconStor Software Inc.,Technology,Computer Software: Prepackaged Software
WLB,4,Westmoreland Coal Company,Energy,Coal Mining
NXPI,2,NXP Semiconductors N.V.,Technology,Semiconductors
TEVA,2,Teva Pharmaceutical Industries Limited,Health Care,Major Pharmaceuticals
GLPW,3,Global Power Equipment Group Inc,Capital Goods,Metal Fabrications
APRI,3,Apricus Biosciences Inc,Health Care,Major Pharmaceuticals
EHIC,0,eHi Car Services Limited,Consumer Services,Rental/Leasing Companies
BECN,3,Beacon Roofing Supply Inc.,Consumer Services,RETAIL: Building Materials
TGEN,0,Tecogen Inc.,Capital Goods,Industrial Machinery/Components
GLPI,3,Gaming and Leisure Properties Inc.,Consumer Services,Real Estate Investment Trusts
SEAS,3,SeaWorld Entertainment Inc.,Consumer Services,Services-Misc. Amusement & Recreation
CSWC,0,Capital Southwest Corporation,n/a,n/a
SEAC,3,SeaChange International Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
TKAI,3,Tokai Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
DCOM,2,Dime Community Bancshares Inc.,Finance,Savings Institutions
NYRT,3,New York REIT Inc.,Consumer Services,Real Estate Investment Trusts
JMBA,3,Jamba Inc.,Consumer Services,Restaurants
SBLKL,-1,Star Bulk Carriers Corp.,Transportation,Marine Transportation
VRML,0,Vermillion Inc.,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
EMF,0,Templeton Emerging Markets Fund,n/a,n/a
KCAP,3,KCAP Financial Inc.,n/a,n/a
BNFT,3,Benefitfocus Inc.,Technology,Computer Software: Prepackaged Software
DHF,0,Dreyfus High Yield Strategies Fund,n/a,n/a
FIVE,4,Five Below Inc.,Consumer Services,Department/Specialty Retail Stores
LHCG,4,LHC Group,Health Care,Medical/Nursing Services
UTMD,0,Utah Medical Products Inc.,Health Care,Medical/Dental Instruments
FIVN,3,Five9 Inc.,Technology,EDP Services
RADB,-1,Radius Bancorp Inc.,n/a,n/a
RADA,0,Rada Electronics Industries Limited,Consumer Non-Durables,Electronic Components
CROX,2,Crocs Inc.,Consumer Non-Durables,Shoe Manufacturing
AUDC,3,AudioCodes Ltd.,Public Utilities,Telecommunications Equipment
BAS,3,Basic Energy Services Inc.,Energy,Oilfield Services/Equipment
JSD,-1,Nuveen Short Duration Credit Opportunities Fund,n/a,n/a
BAP,3,Credicorp Ltd.,Finance,Commercial Banks
JSM,-1,SLM Corporation,Finance,Finance: Consumer Services
ASPN,3,Aspen Aerogels Inc.,Consumer Services,RETAIL: Building Materials
JST,0,Jinpan International Limited,Consumer Durables,Electrical Products
DXJS,0,WisdomTree Japan Hedged SmallCap Equity Fund,n/a,n/a
ASPS,1,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services
RPXC,3,RPX Corporation,Miscellaneous,Multi-Sector Companies
MBVT,3,Merchants Bancshares Inc.,Finance,Major Banks
ASPX,0,Auspex Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
AXJS,3,iShares MSCI All Country Asia ex Japan Small Cap Index Fund,n/a,n/a
XNET,3,Xunlei Limited,Technology,Computer Software: Prepackaged Software
VIIX,0,VelocityShares VIX Short Term ETN,Finance,Investment Bankers/Brokers/Service
MARA,2,Marathon Patent Group Inc.,Miscellaneous,Multi-Sector Companies
VIIZ,0,VelocityShares VIX Medium Term ETN,Finance,Investment Bankers/Brokers/Service
MARK,0,Remark Media Inc.,Consumer Services,Telecommunications Equipment
MYOS,3,MYOS Corporation,Health Care,Major Pharmaceuticals
BAA,3,BANRO CORPORATION,Basic Industries,Precious Metals
TOT,5,TotalFinaElf S.A.,Energy,Oil & Gas Production
TOO,2,Teekay Offshore Partners L.P.,Consumer Services,Marine Transportation
TOL,3,Toll Brothers Inc.,Capital Goods,Homebuilding
LMOS,3,Lumos Networks Corp.,Public Utilities,Telecommunications Equipment
BELFB,0,Bel Fuse Inc.,Capital Goods,Electrical Products
BGCA,-1,BGC Partners Inc.,Finance,Investment Bankers/Brokers/Service
NHF,-1,NexPoint Credit Stategies Fund,n/a,n/a
NHC,0,National HealthCare Corporation,Health Care,Hospital/Nursing Management
HIW,3,Highwoods Properties Inc.,Consumer Services,Real Estate Investment Trusts
STRZB,0,Starz,Consumer Services,Television Services
STRZA,3,Starz,Consumer Services,Television Services
NHI,2,National Health Investors Inc.,Consumer Services,Real Estate Investment Trusts
BAK,3,Braskem S.A.,Basic Industries,Major Chemicals
DOW,5,Dow Chemical Company (The),Basic Industries,Major Chemicals
HIE,-1,Miller/Howard High Income Equity Fund,n/a,n/a
NHS,0,Neuberger Berman High Yield Strategies Fund,n/a,n/a
HIG,3,Hartford Financial Services Group Inc. (The),Finance,Property-Casualty Insurers
HII,2,Huntington Ingalls Industries Inc.,Capital Goods,Marine Transportation
HIL,3,Hill International Inc.,Consumer Services,Military/Government/Technical
HIO,0,Western Asset High Income Opportunity Fund Inc.,n/a,n/a
NVEEW,-1,NV5 Holdings Inc.,Consumer Services,Other Consumer Services
SAMG,3,Silvercrest Asset Management Group Inc.,Finance,Investment Managers
NTRSP,-1,Northern Trust Corporation,Finance,Major Banks
CISAW,-1,CIS Acquisition Ltd.,Basic Industries,Major Chemicals
EGY,4,Vaalco Energy Inc,Energy,Oil & Gas Production
EGP,3,EastGroup Properties Inc.,Consumer Services,Real Estate Investment Trusts
EGT,0,Entertainment Gaming Asia Incorporated,Consumer Durables,Miscellaneous manufacturing industries
XONE,4,The ExOne Company,Capital Goods,Industrial Machinery/Components
EGI,0,Entree Gold Inc,Basic Industries,Precious Metals
EGO,3,Eldorado Gold Corporation,Basic Industries,Precious Metals
EGN,5,Energen Corporation,Energy,Oil & Gas Production
EGL,3,Engility Holdings Inc.,Consumer Services,Military/Government/Technical
CLIR,0,ClearSign Combustion Corporation,Capital Goods,Industrial Machinery/Components
EGF,-1,Blackrock Enhanced Government Fund Inc,n/a,n/a
IMPR,3,Imprivata Inc.,Technology,Computer Software: Prepackaged Software
RAD,1,Rite Aid Corporation,Health Care,Medical/Nursing Services
IMPV,1,Imperva Inc.,Technology,Computer Software: Prepackaged Software
EXTR,3,Extreme Networks Inc.,Technology,Computer Communications Equipment
LBY,0,Libbey Inc.,Capital Goods,Industrial Machinery/Components
LEJU,5,Leju Holdings Limited,Finance,Real Estate
FGP,3,Ferrellgas Partners L.P.,Consumer Services,Other Specialty Stores
SFXE,3,SFX Entertainment Inc.,Consumer Services,Services-Misc. Amusement & Recreation
SMIT,0,Schmitt Industries Inc.,Capital Goods,Industrial Machinery/Components
FGL,3,Fidelity and Guaranty Life,Finance,Life Insurance
RAS,2,RAIT Financial Trust,Consumer Services,Real Estate Investment Trusts
LBF,0,Scudder Global High Income Fund Inc.,n/a,n/a
FGB,-1,First Trust Specialty Finance and Financial Opportunities Fund,n/a,n/a
BFK,-1,BlackRock Municipal Income Trust,n/a,n/a
BFO,-1,Blackrock Florida Municipal 2020 Term Trust,n/a,n/a
RVNC,3,Revance Therapeutics Inc.,Health Care,Major Pharmaceuticals
BFS,2,Saul Centers Inc.,Consumer Services,Real Estate Investment Trusts
BFR,3,BBVA Banco Frances S.A.,Finance,Commercial Banks
BFZ,-1,BlackRock California Municipal Income Trust,n/a,n/a
BFY,-1,BlackRock New York Municipal Income Trust II,n/a,n/a
OZRK,1,Bank of the Ozarks,Finance,Major Banks
OSBC,2,Old Second Bancorp Inc.,Finance,Major Banks
IFT,3,Imperial Holdings Inc.,Finance,Life Insurance
IFV,0,First Trust Dorsey Wright International Focus 5 ETF,n/a,n/a
OCN,3,Ocwen Financial Corporation,Finance,Finance: Consumer Services
OCC,0,Optical Cable Corporation,Basic Industries,Telecommunications Equipment
IFF,3,Internationa Flavors & Fragrances Inc.,Basic Industries,Major Chemicals
IFN,0,India Fund Inc. (The),n/a,n/a
OCR,2,Omnicare Inc.,Health Care,Medical/Nursing Services
CEF,-1,Central Fund of Canada Limited,n/a,n/a
CEE,0,Central Europe Russia and Turkey Fund Inc. (The),n/a,n/a
CEB,3,The Corporate Executive Board Company,Consumer Services,Professional Services
PKT,2,Procera Networks Inc.,Technology,EDP Services
CEO,5,CNOOC Limited,Energy,Oil & Gas Production
CEN,-1,Center Coast MLP & Infrastructure Fund,n/a,n/a
PKX,3,POSCO,Basic Industries,Steel/Iron Ore
CEL,0,Cellcom Israel Ltd.,Public Utilities,Telecommunications Equipment
ASMB,3,Assembly Biosciences Inc.,Health Care,Major Pharmaceuticals
CET,0,Central Securities Corporation,n/a,n/a
PKG,3,Packaging Corporation of America,Consumer Durables,Containers/Packaging
PKD,4,Parker Drilling Company,Energy,Oil & Gas Production
PKE,5,Park Electrochemical Corporation,Technology,Electrical Products
ASMI,0,ASM International N.V.,Technology,Industrial Machinery/Components
PKI,4,PerkinElmer Inc.,Capital Goods,Biotechnology: Laboratory Analytical Instruments
PKO,-1,Pimco Income Opportunity Fund,n/a,n/a
NEN,0,New England Realty Associates Limited Partnership,Consumer Services,Building operators
ASML,4,ASML Holding N.V.,Technology,Industrial Machinery/Components
SYMC,3,Symantec Corporation,Technology,Computer Software: Prepackaged Software
VJET,3,voxeljet AG,Capital Goods,Industrial Machinery/Components
SYMX,0,Synthesis Energy Systems Inc.,Basic Industries,Major Chemicals
OUTR,1,Outerwall Inc.,Consumer Services,Other Consumer Services
STV,0,China Digital TV Holding Co. Ltd.,Technology,Computer Software: Prepackaged Software
RBIO,-1,rEVO Biologics Inc.,n/a,n/a
ARWR,3,Arrowhead Research Corporation,Health Care,Biotechnology: Commercial Physical & Biological Resarch
HFBL,0,Home Federal Bancorp Inc. of Louisiana,Finance,Savings Institutions
ACXM,3,Acxiom Corporation,Technology,EDP Services
STR,2,Questar Corporation,Public Utilities,Oil & Gas Production
MUS,-1,Blackrock MuniHoldings Quality Fund Inc.,n/a,n/a
MUR,4,Murphy Oil Corporation,Energy,Integrated oil Companies
MUX,3,McEwen Mining Inc.,Basic Industries,Precious Metals
HFBC,1,HopFed Bancorp Inc.,Finance,Major Banks
MUE,-1,Blackrock MuniHoldings Quality Fund II Inc.,n/a,n/a
MUA,0,Blackrock MuniAssets Fund Inc.,n/a,n/a
HIBB,2,Hibbett Sports Inc.,Consumer Services,Other Specialty Stores
MUC,0,Blackrock MuniHoldings California Quality Fund  Inc.,n/a,n/a
MUI,0,Blackrock Muni Intermediate Duration Fund Inc,n/a,n/a
MUH,0,Blackrock MuniHoldings Fund II Inc.,n/a,n/a
MUJ,0,Blackrock MuniHoldings New Jersey Insured Fund Inc.,n/a,n/a
ASR,3,Grupo Aeroportuario del Sureste S.A. de C.V.,Transportation,Aerospace
AST,0,Asterias Biotherapeutics Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NUV,0,Nuveen AMT-Free Municipal Value Fund,n/a,n/a
NUW,-1,Nuveen AMT-Free Municipal Value Fund,n/a,n/a
ASX,3,Advanced Semiconductor Engineering Inc.,Technology,Semiconductors
GKNT,2,Geeknet Inc.,Consumer Services,Other Specialty Stores
NUS,3,Nu Skin Enterprises Inc.,Health Care,Other Pharmaceuticals
ASC,3,Ardmore Shipping Corporation,Transportation,Marine Transportation
NUO,0,Nuveen Ohio Quality Income Municipal Fund,n/a,n/a
ASA,0,ASA Gold and Precious Metals Limited,n/a,n/a
NUM,0,Nuveen Michigan Quality Income Municipal Fund,n/a,n/a
ASG,0,Liberty All-Star Growth Fund Inc.,n/a,n/a
NUE,3,Nucor Corporation,Basic Industries,Steel/Iron Ore
ORAN,2,Orange,Public Utilities,Telecommunications Equipment
SIEN,3,Sientra Inc.,Health Care,Industrial Specialties
DUK,3,Duke Energy Corporation,Public Utilities,Power Generation
SWSH,3,Swisher Hygiene Inc.,Basic Industries,Package Goods/Cosmetics
DUA,-1,Deutsche Bank AG,n/a,n/a
QCRH,1,QCR Holdings Inc.,Finance,Major Banks
DUC,0,Duff & Phelps Utility & Corporate Bond Trust Inc.,n/a,n/a
EHTH,3,eHealth Inc.,Finance,Specialty Insurers
R,3,Ryder System Inc.,Consumer Services,Rental/Leasing Companies
KCLI,0,Kansas City Life Insurance Company,Finance,Life Insurance
NCR,3,NCR Corporation,Miscellaneous,Office Equipment/Supplies/Services
OXLC,4,Oxford Lane Capital Corp.,n/a,n/a
CRME,3,Cardiome Pharma Corporation,Health Care,Major Pharmaceuticals
LODE,0,Comstock Mining Inc.,Basic Industries,Precious Metals
HSTM,1,HealthStream Inc.,Technology,Computer Software: Programming Data Processing
PATK,0,Patrick Industries Inc.,Basic Industries,Forest Products
PTLA,2,Portola Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
KWK,-1,Quicksilver Resources Inc.,Energy,Oil & Gas Production
KWN,-1,Kennedy-Wilson Holdings Inc.,Finance,Real Estate
KWR,3,Quaker Chemical Corporation,Basic Industries,Major Chemicals
MKC/V,-1,McCormick & Company Incorporated,n/a,n/a
ENFC,0,Entegra Financial Corp.,Finance,Banks
TRVN,3,Trevena Inc.,Health Care,Major Pharmaceuticals
GSOL,0,Global Sources Ltd.,Consumer Services,Advertising
MUSA,3,Murphy USA Inc.,Consumer Durables,Automotive Aftermarket
CNNX,4,Cone Midstream Partners LP,Public Utilities,Natural Gas Distribution
RMBS,3,Rambus Inc.,Technology,Semiconductors
CRRS,3,Corporate Resource Services Inc.,Technology,Professional Services
SPLK,3,Splunk Inc.,Technology,Computer Software: Prepackaged Software
SPLP,0,Steel Partners Holdings LP,Capital Goods,Industrial Specialties
SPLS,3,Staples Inc.,Consumer Services,Other Specialty Stores
HPTX,4,Hyperion Therapeutics Inc.,Health Care,Major Pharmaceuticals
CETV,3,Central European Media Enterprises Ltd.,Consumer Services,Broadcasting
FXENP,-1,FX Energy Inc.,Energy,Oil & Gas Production
ADMA,3,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NAII,0,Natural Alternatives International Inc.,Consumer Durables,Specialty Chemicals
MWIV,3,MWI Veterinary Supply Inc.,Health Care,Medical Specialities
ADMP,0,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals
DSKX,0,DS Healthcare Group Inc.,Consumer Non-Durables,Package Goods/Cosmetics
ADMS,3,Adamas Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
ISTR,3,Investar Holding Corporation,Finance,Major Banks
SBCP,0,Sunshine Bancorp Inc.,Finance,Savings Institutions
SBCF,3,Seacoast Banking Corporation of Florida,Finance,Major Banks
WNC,1,Wabash National Corporation,Capital Goods,Construction/Ag Equipment/Trucks
FANG,3,Diamondback Energy Inc.,Energy,Oil & Gas Production
PGEM,1,Ply Gem Holdings Inc.,Basic Industries,Forest Products
MHI,-1,Pioneer Municipal High Income Trust,n/a,n/a
WNR,3,Western Refining Inc.,Energy,Integrated oil Companies
WNS,1,WNS (Holdings) Limited,Miscellaneous,Business Services
AKER,0,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
APTO,3,Aptose Biosciences Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APTS,3,Preferred Apartment Communities Inc.,Consumer Services,Real Estate Investment Trusts
QCOM,3,QUALCOMM Incorporated,Technology,Radio And Television Broadcasting And Communications Equipment
GYRO,0,Gyrodyne Company of America Inc.,Consumer Services,Building operators
MVNR,1,Mavenir Systems Inc.,Technology,Computer Communications Equipment
WDFC,2,WD-40 Company,Basic Industries,Major Chemicals
MHY,0,Western Asset Managed High Income Fund Inc.,n/a,n/a
CSUN,0,China Sunergy Co. Ltd.,Technology,Semiconductors
DCIX,3,Diana Containerships Inc.,Transportation,Marine Transportation
ELGX,3,Endologix Inc.,Health Care,Medical/Dental Instruments
IGC/WS,-1,India Globalization Capital Inc.,n/a,n/a
BLRX,1,BioLineRx Ltd.,Health Care,Major Pharmaceuticals
SNFCA,0,Security National Financial Corporation,Finance,Finance: Consumer Services
ESMC,0,Escalon Medical Corp.,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ANF,3,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores
NVEE,3,NV5 Holdings Inc.,Consumer Services,Other Consumer Services
NVEC,3,NVE Corporation,Technology,Semiconductors
NNVC,3,NanoViricides Inc.,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CCRN,2,Cross Country Healthcare Inc.,Technology,Professional Services
SRLP,3,Sprague Resources LP,Energy,Oil Refining/Marketing
CMCSK,3,Comcast Corporation,Consumer Services,Television Services
CMCSA,3,Comcast Corporation,Consumer Services,Television Services
ZHNE,3,Zhone Technologies Inc.,Public Utilities,Telecommunications Equipment
PPC,1,Pilgrim&#39;s Pride Corporation,Consumer Non-Durables,Meat/Poultry/Fish
CIX,0,CompX International Inc.,Capital Goods,Industrial Machinery/Components
PPG,3,PPG Industries Inc.,Basic Industries,Paints/Coatings
CIG/C,-1,Comp En De Mn Cemig ADS,n/a,n/a
NRIM,3,Northrim BanCorp Inc,Finance,Savings Institutions
PPO,3,Polypore International Inc,Basic Industries,Major Chemicals
JQC,0,Nuveen Credit Strategies Income Fund,n/a,n/a
PPL,3,PPL Corporation,Public Utilities,Electric Utilities: Central
PPS,2,Post Properties Inc.,Consumer Services,Real Estate Investment Trusts
PPR,0,Voya Prime Rate Trust,n/a,n/a
PPP,3,Primero Mining Corp,Basic Industries,Precious Metals
NGVC,2,Natural Grocers by Vitamin Cottage Inc.,Consumer Services,Food Chains
PPT,0,Putnam Premier Income Trust,n/a,n/a
PPX,-1,PPL Capital Funding Inc.,Public Utilities,Electric Utilities: Central
AXLL,4,Axiall Corporation,Basic Industries,Major Chemicals
MAPI,-1,Mapi - Pharma Ltd.,n/a,n/a
PETM,1,PetSmart Inc,Consumer Services,Other Specialty Stores
ZPIN,3,Zhaopin Limited,Technology,Professional Services
TNGO,3,Tangoe Inc.,Technology,Computer Software: Prepackaged Software
SGYP,3,Synergy Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals
TMP,3,Tompkins Financial Corporation,Finance,Major Banks
GSS,2,Golden Star Resources Ltd,Basic Industries,Precious Metals
BG,3,Bunge Limited,Consumer Non-Durables,Packaged Foods
BA,2,Boeing Company (The),Capital Goods,Aerospace
BC,4,Brunswick Corporation,Energy,Industrial Machinery/Components
BH,0,Biglari Holdings Inc.,Consumer Services,Restaurants
BK,3,Bank Of New York Mellon Corporation (The),Finance,Major Banks
BT,4,BT Group plc,Public Utilities,Telecommunications Equipment
BV,2,Bazaarvoice Inc.,Technology,Computer Software: Prepackaged Software
GSB,0,GlobalSCAPE Inc.,Technology,Computer Software: Prepackaged Software
BP,5,BP p.l.c.,Energy,Integrated oil Companies
BR,3,Broadridge Financial Solutions Inc.,Miscellaneous,Business Services
GSF,-1,Goldman Sachs Group Inc. (The),Finance,Investment Bankers/Brokers/Service
GSI,0,General Steel Holdings Inc.,Capital Goods,Steel/Iron Ore
GSH,0,Guangshen Railway Company Limited,Transportation,Railroads
GSK,4,GlaxoSmithKline PLC,Health Care,Major Pharmaceuticals
GSJ,-1,Goldman Sachs Group Inc. (The),Finance,Investment Bankers/Brokers/Service
GSM,2,Globe Specialty Metals Inc.,Capital Goods,Metal Fabrications
GSL,0,Global Ship Lease Inc.,Transportation,Marine Transportation
NNN,3,National Retail Properties,Consumer Services,Real Estate Investment Trusts
AVID,3,Avid Technology Inc.,n/a,n/a
DBVT,3,DBV Technologies S.A.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NNI,0,Nelnet Inc.,Finance,Finance: Consumer Services
NNC,0,Nuveen North Carolina Premium Income Municipal Fund,n/a,n/a
ATHN,3,athenahealth Inc.,Miscellaneous,Business Services
NNA,3,Navios Maritime Acquisition Corporation,Transportation,Marine Transportation
AVIV,3,Aviv REIT Inc.,Consumer Services,Real Estate Investment Trusts
NNY,0,Nuveen New York Municipal Value Fund Inc.,n/a,n/a
ATHX,3,Athersys Inc.,Health Care,Major Pharmaceuticals
NNP,0,Nuveen New York Performance Plus Municipal Fund Inc.,n/a,n/a
SENEA,0,Seneca Foods Corp.,Consumer Non-Durables,Packaged Foods
SENEB,0,Seneca Foods Corp.,Consumer Non-Durables,Packaged Foods
NSU,4,Nevsun Resources Ltd,Basic Industries,Precious Metals
SQI,3,SciQuest Inc.,Technology,Computer Software: Prepackaged Software
SQM,4,Sociedad Quimica y Minera S.A.,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
RHP,2,Ryman Hospitality Properties Inc.,Consumer Services,Real Estate Investment Trusts
BSET,0,Bassett Furniture Industries Incorporated,Consumer Durables,Home Furnishings
EEQ,3,Enbridge Energy Management LLC,Energy,Oil & Gas Production
EEP,3,Enbridge Energy L.P.,Energy,Natural Gas Distribution
EEI,0,Ecology and Environment Inc.,Consumer Services,Military/Government/Technical
C/WS/B,-1,Citigroup Inc.,n/a,n/a
C/WS/A,-1,Citigroup Inc.,n/a,n/a
EEA,0,European Equity Fund Inc. (The),n/a,n/a
LLY,3,Eli Lilly and Company,Health Care,Major Pharmaceuticals
ROK,3,Rockwell Automation Inc.,Capital Goods,Industrial Machinery/Components
ROL,3,Rollins Inc.,Finance,Diversified Commercial Services
WEYS,0,Weyco Group Inc.,Consumer Non-Durables,Apparel
ROC,0,Rockwood Holdings Inc.,Basic Industries,Major Chemicals
ROG,1,Rogers Corporation,Basic Industries,Major Chemicals
ROX,3,Castle Brands Inc.,Consumer Non-Durables,Beverages (Production/Distribution)
LLL,4,L-3 Communications Holdings Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
EZCH,3,EZchip Semiconductor Limited,Technology,Computer Communications Equipment
UBIC,0,UBIC Inc.,Technology,EDP Services
BDE,3,Black Diamond Inc.,Consumer Non-Durables,Recreational Products/Toys
BDC,1,Belden Inc,Basic Industries,Telecommunications Equipment
BDL,0,Flanigan&#39;s Enterprises Inc.,Consumer Services,Restaurants
BDN,3,Brandywine Realty Trust,Consumer Services,Real Estate Investment Trusts
BDJ,-1,Blackrock Enhanced Equity Dividend Trust,n/a,n/a
BDR,0,Blonder Tongue Laboratories Inc.,Technology,Radio And Television Broadcasting And Communications Equipment
CUBI,1,Customers Bancorp Inc,Finance,Major Banks
BDX,3,Becton Dickinson and Company,Health Care,Medical/Dental Instruments
SDLP,1,Seadrill Partners LLC,Energy,Oil & Gas Production
